"","sample","fit_r2","ox_initial","t_initial","dmax","tmax_h","se","auc","hauc","width","t1_h","t2_h","hwidth"
"307","191001_510_D1",0.9036,247.793575949367,10.802,1.70057735911769,21.198,0.0586825877860624,13.8148503231162,13.8148503231162,3.49916666666667,19.5753333333333,23.0745,1.62266666666667
"308","191001_510_A2",0.9833,247.793575949367,10.802,7.48071454418891,24.6971666666667,0.0633081480112886,41.1914630456153,41.1914630456153,3.39766666666666,21.2995,24.6971666666667,3.39766666666666
"309","191001_510_B2",0.9797,247.793575949367,10.802,9.20074279402229,26.7258333333333,0.596256967531225,34.3406938693142,34.3406938693142,3.14416666666667,23.5816666666667,26.7258333333333,3.14416666666667
"310","191001_510_C2",0.9903,247.793575949367,10.802,7.64414859925182,23.7845,0.0790096586397549,41.6545607008435,41.6545607008435,5.42633333333334,21.0966666666667,26.523,2.68783333333333
"311","191001_510_D2",0.9931,247.793575949367,10.802,8.93310524426283,23.1758333333333,0.0729045662054646,44.6649244012985,44.6649244012985,4.51366666666667,20.843,25.3566666666667,2.18083333333334
"312","191001_510_A3",0.9942,247.793575949367,10.802,11.0521181415834,21.198,0.0584385672220885,50.7956079123665,50.7956079123665,3.70216666666667,19.5245,23.2266666666667,1.6735
"313","191001_510_B3",0.9838,247.793575949367,10.802,9.93371382957889,26.7258333333333,0.555526195362485,35.8500456323142,35.8500456323142,2.68783333333333,24.038,26.7258333333333,2.68783333333333
"314","191001_510_C3",0.9885,247.793575949367,10.802,7.19083580202891,26.7258333333333,0.580523293489583,40.7834511221201,40.7834511221201,5.477,21.2488333333333,26.7258333333333,5.477
"315","191001_510_D3",0.9799,247.793575949367,10.802,9.93982684865841,26.7258333333333,0.592013092926928,34.3670689108203,34.3670689108203,2.68783333333333,24.038,26.7258333333333,2.68783333333333
"316","191001_510_A4",0.9906,247.793575949367,10.802,7.98667507771142,22.263,0.0421199554907089,42.6893959456607,42.6893959456607,4.7165,19.8288333333333,24.5453333333333,2.28233333333334
"317","191001_510_B4",0.9919,247.793575949367,10.802,6.92445558681015,23.3786666666667,0.0781823458763003,45.0620113409927,45.0620113409927,5.02066666666666,20.8938333333333,25.9145,2.48483333333333
"318","191001_510_C4",0.9926,247.793575949367,10.802,7.4897235837193,22.8208333333333,0.0352242052823936,39.4267512049612,39.4267512049612,4.46283333333333,20.1838333333333,24.6466666666667,1.82583333333333
"319","191001_510_D4",0.9795,247.793575949367,10.802,7.08873307915383,26.7258333333333,0.615416045545573,32.4092520563846,32.4092520563846,4.91916666666667,21.8066666666667,26.7258333333333,4.91916666666667
"320","191001_510_A5",0.9469,247.793575949367,10.802,10.3871381755744,26.7258333333333,0.728000930592799,26.9511784190989,26.9511784190989,1.52133333333333,25.2045,26.7258333333333,1.52133333333333
"321","191001_510_B5",0.9928,247.793575949367,10.802,9.02698042603447,23.2771666666667,0.080757566606748,48.0790051061078,48.0790051061078,4.86866666666666,20.8938333333333,25.7625,2.38333333333333
"322","191001_510_C5",0.9594,247.793575949367,10.802,8.86369985716556,26.7258333333333,0.592809037004729,24.9050556751563,24.9050556751563,1.62283333333333,25.103,26.7258333333333,1.62283333333333
"323","191001_510_D5",0.9622,247.793575949367,10.802,8.54948394649341,26.7258333333333,0.617775067701416,26.4006292464783,26.4006292464783,1.97783333333333,24.748,26.7258333333333,1.97783333333333
"324","191001_510_A6",0.9831,247.793575949367,10.802,8.25727256561549,22.9221666666667,0.103016994564885,43.7806426523206,43.7806426523206,4.71633333333333,20.2345,24.9508333333333,2.02866666666667
"325","191001_510_B6",0.9838,247.793575949367,10.802,6.32911547504023,23.9871666666667,0.100573112438205,41.2230825518018,41.2230825518018,6.33916666666667,20.3866666666667,26.7258333333333,2.73866666666667
"326","191001_510_C6",0.9785,247.793575949367,10.802,6.81184639442904,25.103,0.901014614665361,37.2044388477139,37.2044388477139,3.65133333333334,21.4516666666667,25.103,3.65133333333334
"327","191001_510_D6",0.97,247.793575949367,10.802,9.61144917480055,26.7258333333333,0.736615435107051,34.2687813101481,34.2687813101481,3.14416666666667,23.5816666666667,26.7258333333333,3.14416666666667
"328","191001_512_A1",0,258.590163934426,11.36,0,11.36,3.62478783218226e-09,0,0,0,11.36,11.36,0
"329","191001_512_B1",0,258.590163934426,11.36,0,11.36,2.98773601426437e-09,0,0,0,11.36,11.36,0
"330","191001_512_C1",0,258.590163934426,11.36,0,11.36,2.40491524542397e-09,0,0,0,11.36,11.36,0
"331","191001_512_D1",0.947,258.590163934426,11.36,3.35223672175175,11.36,0.0386792614882026,19.811036593533,19.811036593533,0.709666666666665,11.36,12.0696666666667,0.709666666666665
"332","191001_512_A2",0.9818,258.590163934426,11.36,10.316196611725,26.7258333333333,0.576867574773865,33.129123952109,33.129123952109,2.58633333333334,24.1395,26.7258333333333,2.58633333333334
"333","191001_512_B2",0.9936,258.590163934426,11.36,8.86461206586432,23.2771666666667,0.0878153241608209,46.4106071277204,46.4106071277204,2.28183333333333,20.9953333333333,23.2771666666667,2.28183333333333
"334","191001_512_C2",0.9508,258.590163934426,11.36,11.4662479890148,26.7258333333333,0.609846648914936,24.3130060764597,24.3130060764597,1.217,25.5088333333333,26.7258333333333,1.217
"335","191001_512_D2",0.9907,258.590163934426,11.36,7.21048693682405,24.9508333333333,0.608708917728564,40.0817885537653,40.0817885537653,3.65133333333333,21.2995,24.9508333333333,3.65133333333333
"336","191001_512_A3",0.9937,258.590163934426,11.36,16.5501181001616,26.7258333333333,0.562675742480447,56.6377705032585,56.6377705032585,2.94133333333334,23.7845,26.7258333333333,2.94133333333334
"337","191001_512_B3",0.9955,258.590163934426,11.36,16.1773737679869,26.7258333333333,0.542946750009897,61.6660415676547,61.6660415676547,3.39783333333333,23.328,26.7258333333333,3.39783333333333
"338","191001_512_C3",0.9968,258.590163934426,11.36,13.2266132471921,25.3058333333333,0.64737294411361,64.0928206112042,64.0928206112042,3.09366666666666,22.2121666666667,25.3058333333333,3.09366666666666
"339","191001_512_D3",0.9957,258.590163934426,11.36,14.8956413547512,25.4071666666667,0.693034816177128,64.519805143742,64.519805143742,2.58633333333334,22.8208333333333,25.4071666666667,2.58633333333334
"340","191001_512_A4",0.9891,258.590163934426,11.36,10.3564310857848,26.7258333333333,0.669262979355148,47.6962609299519,47.6962609299519,4.46283333333334,22.263,26.7258333333333,4.46283333333334
