"","set","sample","fit_r2","ox_initial","t_initial","dmax","tmax_h","se","auc","hauc","width","t1_h","t2_h","hwidth","line","Sample_ID","Survey","tmax"
"643","191013_512_4","191013_512_D4",0.989235022854516,268.13836333221,6.3395,3.45648361691892,23.582,0.0472876179640373,21.0186797686851,8.9911556335387,7.40366666666667,19.3221666666667,26.7258333333333,3.14383333333333,"4",12156,"1000_lakes",17.2425
"644","191013_512_4","191013_512_C4",0.975978050119753,268.138363335179,6.3395,2.16618961373178,23.582,0.0503164311761202,13.8798655751298,5.65754882217597,7.86,18.8658333333333,26.7258333333333,3.14383333333333,"4",12156,"1000_lakes",17.2425
"645","191013_512_5","191013_512_D5",0.989072384129841,268.138363320279,6.3395,2.75551936923735,21.7055,0.0665189213325675,16.5405700268402,8.13405659120439,7.6065,17.953,25.5595,3.7525,"5",12205,"1000_lakes",15.366
"646","191013_512_5","191013_512_A5",0.990526589571187,268.138363329252,6.3395,2.97936098482652,22.162,0.051880067605945,16.7249631610036,7.62709919014343,6.94733333333334,19.018,25.9653333333333,3.144,"5",12205,"1000_lakes",15.8225
"647","191013_512_5","191013_512_C5",0.988465372389244,268.138363323272,6.3395,3.02357379029483,21.5028333333333,0.0771277892186676,16.5176094165406,8.27339653892859,6.99783333333333,18.0038333333333,25.0016666666667,3.499,"5",12205,"1000_lakes",15.1633333333333
"648","191013_512_5","191013_512_B5",0.989598163598515,268.138363326266,6.3395,2.66584920178215,22.1113333333333,0.0558901972692081,16.7460434661609,8.06917081081654,7.80916666666667,18.308,26.1171666666667,3.80333333333333,"5",12205,"1000_lakes",15.7718333333333
"649","191013_512_6","191013_512_B6",0.993566776110186,268.138363314264,6.3395,3.95160725268762,22.6183333333333,0.0456918909684215,23.538829819482,11.1723127542563,7.25133333333333,19.1703333333333,26.4216666666667,3.448,"6",12561,"1000_lakes",16.2788333333333
"650","191013_512_6","191013_512_A6",0.987852805289339,268.138363317267,6.3395,2.46056443742534,21.807,0.0577754929103246,13.1164070988302,6.19630487037075,6.69366666666667,18.663,25.3566666666667,3.144,"6",12561,"1000_lakes",15.4675
"651","191013_512_6","191013_512_D6",0.980531212661005,268.13836330821,6.3395,2.1684448682235,21.9086666666667,0.0625204865686287,12.0445061449962,5.64248302573557,6.94733333333333,18.663,25.6103333333333,3.24566666666666,"6",12561,"1000_lakes",15.5691666666667
"652","191013_512_6","191013_512_C6",0.978980601263303,268.138363311232,6.3395,4.42151715104264,20.2858333333333,0.0616912506903177,24.6717077741464,11.1876974177222,6.7445,16.5838333333333,23.3283333333333,3.0425,"6",12561,"1000_lakes",13.9463333333333
