Who,Survey,Sampling_date,Start_date,Sample_ID,sensor_plate_number,SDR_number,Sample_line,Comments
Camille,1000_lakes,191016,191023,12053,1428,512,2,
Camille,1000_lakes,191016,191023,12039,1428,512,3,
Camille,1000_lakes,191016,191023,12291,1428,512,4,
Camille,1000_lakes,191016,191023,12036,1428,512,5,
Camille,1000_lakes,191016,191023,12628,1428,512,6,
Camille,1000_lakes,191016,191023,12695,red,130,2,
Camille,1000_lakes,191016,191023,12210,red,130,3,
Camille,1000_lakes,191016,191023,12602,red,130,4,
Camille,1000_lakes,191016,191023,12126,red,130,5,
Camille,1000_lakes,191016,191023,12027,red,130,6,
Camille,1000_lakes,191016,191023,12042,black,133,2,
Camille,1000_lakes,191016,191023,12693,black,133,3,
Camille,1000_lakes,191016,191023,12598,black,133,4,
Camille,1000_lakes,191016,191023,12117,black,133,5,
Camille,1000_lakes,191016,191023,12682,black,133,6,
Camille,1000_lakes,191016,191023,12086,1941B,124,2,
Camille,1000_lakes,191016,191023,12629,1941B,124,3,
Camille,1000_lakes,191016,191023,12209,1941B,124,4,
Camille,1000_lakes,191016,191023,12627,1941B,124,5,
Camille,1000_lakes,191016,191023,12114,1941B,124,6,
Camille,1000_lakes,191016,191023,12029,1941A,510,2,
Camille,1000_lakes,191016,191023,12050,1941A,510,3,
Camille,1000_lakes,191016,191023,13121,1941A,510,4,
Camille,1000_lakes,191016,191023,13165,1941A,510,5,
Camille,1000_lakes,191023,191023,12095,1941A,510,6,
Eline,1000_lakes,191023,191025,13373,1920B,512,6,nutrients 2uM
Eline,1000_lakes,191023,191025,12282,1551,124,2,nutrients 2uM
Eline,1000_lakes,191023,191025,12260,1551,124,3,nutrients 2uM
Eline,1000_lakes,191023,191025,13430,1551,124,4,nutrients 2uM
Eline,1000_lakes,191023,191025,12262,1551,124,5,nutrients 2uM
Eline,1000_lakes,191023,191025,13374,1551,124,6,nutrients 2uM
Eline,1000_lakes,191023,191025,12097,1941C,130,2,nutrients 2uM
Eline,1000_lakes,191023,191025,13428,1941C,130,3,nutrients 2uM
Eline,1000_lakes,191023,191025,12851,1941C,130,4,nutrients 2uM
Eline,1000_lakes,191023,191025,12101,1941C,130,5,nutrients 2uM
Eline,1000_lakes,191023,191025,12505,1941C,130,6,nutrients 2uM
Eline,1000_lakes,191023,191025,13337,1941D,133,2,nutrients 2uM
Eline,1000_lakes,191023,191025,12310,1941D,133,3,nutrients 2uM
Eline,1000_lakes,191023,191025,12147,1941D,133,4,nutrients 2uM
Eline,1000_lakes,191023,191025,13057,1941D,133,5,nutrients 2uM
Eline,1000_lakes,191023,191025,12509,1941D,133,6,nutrients 2uM
Camille,1000_lakes,191023,191027,12100,black,133,6,
Camille,1000_lakes,191023,191027,12979,1941A,130,2,
Camille,1000_lakes,191023,191027,12305,1941A,130,3,
Camille,1000_lakes,191023,191027,12206,1941A,130,4,
Camille,1000_lakes,191023,191027,12329,1941A,130,5,
Camille,1000_lakes,191023,191027,12267,1941A,130,6,
Camille,1000_lakes,191023,191027,12067,red,124,2,potential double dose of inoculum/nutriments
Camille,1000_lakes,191023,191027,12096,red,124,3,
